,Event_w_sport_sex,Event,Event_sex
0, Basketball,Basketball Mens Basketball,Men
1, Extra-Lightweight,Judo Mens Extra-Lightweight,Men
4, 500 metres,Speed Skating Womens 500 metres,Women
5," 1,000 metres","Speed Skating Womens 1,000 metres",Women
11, 50 kilometres,Cross Country Skiing Mens 50 kilometres,Men
13, 4 x 10 kilometres Relay,Cross Country Skiing Mens 4 x 10 kilometres Relay,Men
15, 30 kilometres,Cross Country Skiing Mens 30 kilometres,Men
28, Ice Hockey,Ice Hockey Mens Ice Hockey,Men
31, Singles,Badminton Mens Singles,Men
32, Windsurfer,Sailing Womens Windsurfer,Women
34, 7.5 kilometres Sprint,Biathlon Womens 7.5 kilometres Sprint,Women
41, Individual All-Around,Gymnastics Mens Individual All-Around,Men
42, Team All-Around,Gymnastics Mens Team All-Around,Men
43, Floor Exercise,Gymnastics Mens Floor Exercise,Men
44, Horse Vault,Gymnastics Mens Horse Vault,Men
45, Parallel Bars,Gymnastics Mens Parallel Bars,Men
46, Horizontal Bar,Gymnastics Mens Horizontal Bar,Men
47, Rings,Gymnastics Mens Rings,Men
48, Pommelled Horse,Gymnastics Mens Pommelled Horse,Men
57, Shot Put,Athletics Mens Shot Put,Men
59, Downhill,Alpine Skiing Mens Downhill,Men
60, Super G,Alpine Skiing Mens Super G,Men
61, Giant Slalom,Alpine Skiing Mens Giant Slalom,Men
62, Slalom,Alpine Skiing Mens Slalom,Men
67, Combined,Alpine Skiing Mens Combined,Men
80, Super-Heavyweight,Weightlifting Womens Super-Heavyweight,Women
81," Light-Heavyweight, Greco-Roman","Wrestling Mens Light-Heavyweight, Greco-Roman",Men
87, Singles,Luge Womens Singles,Women
89, Three Person Keelboat,Sailing Mixed Three Person Keelboat,Mixed
92, Lightweight Double Sculls,Rowing Mens Lightweight Double Sculls,Men
94, Pole Vault,Athletics Mens Pole Vault,Men
96, Two Person Dinghy,Sailing Mens Two Person Dinghy,Men
98," 1,500 metres","Athletics Mens 1,500 metres",Men
99, Four,Bobsleigh Mens Four,Men
100, 100 metres Butterfly,Swimming Mens 100 metres Butterfly,Men
101, 200 metres Butterfly,Swimming Mens 200 metres Butterfly,Men
102, 4 x 100 metres Medley Relay,Swimming Mens 4 x 100 metres Medley Relay,Men
105, Football,Football Womens Football,Women
118," Jumping, Individual","Equestrianism Mixed Jumping, Individual",Mixed
121, 15 kilometres,Cross Country Skiing Mens 15 kilometres,Men
125," Rapid-Fire Pistol, 25 metres","Shooting Mens Rapid-Fire Pistol, 25 metres",Men
127, Trap,Shooting Mens Trap,Men
130, 4 x 100 metres Relay,Athletics Mens 4 x 100 metres Relay,Men
131, Long Jump,Athletics Mens Long Jump,Men
135, Javelin Throw,Athletics Womens Javelin Throw,Women
137," Heavyweight, Freestyle","Wrestling Mens Heavyweight, Freestyle",Men
146, Flyweight,Taekwondo Mens Flyweight,Men
148," 5,000 metres","Athletics Mens 5,000 metres",Men
151, Light-Welterweight,Boxing Mens Light-Welterweight,Men
154, Lightweight,Weightlifting Mens Lightweight,Men
155, Middleweight,Weightlifting Mens Middleweight,Men
157, Football,Football Mens Football,Men
158, Coxless Pairs,Rowing Mens Coxless Pairs,Men
159," Epee, Individual","Fencing Mens Epee, Individual",Men
161, Flyweight,Taekwondo Womens Flyweight,Women
167, Basketball,Basketball Womens Basketball,Women
168, Platform,Diving Mens Platform,Men
169," Canadian Doubles, 500 metres","Canoeing Mens Canadian Doubles, 500 metres",Men
170," Canadian Doubles, 1,000 metres","Canoeing Mens Canadian Doubles, 1,000 metres",Men
171," Kayak Fours, 1,000 metres","Canoeing Mens Kayak Fours, 1,000 metres",Men
173, Handball,Handball Mens Handball,Men
176, Coxless Pairs,Rowing Womens Coxless Pairs,Women
